Disposal Site,Latitude,Longitude,Address 1,Citation,Assumption 
Wakehatchee Park DMS,26.49753647,-81.91363272,"16760 BASS RD Fort Myers, FL, 33908",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),
Domestic Rd DMS,26.500233,-81.82428092,"16575 Gator Rd, Fort Myers, FL 33912",Google Maps,Google; Domestic Ave; Similar to USA Mulch
Civic Center DMS,26.72439699,-81.76727663,"17900 OLD BAYSHORE RD North Fort Myers, FL, 33917",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),
Paige Field Airport DMS (PAGE FIELD)?,26.58662331,-81.86764123,"5200 Captain Channing Page Dr, Fort Myers, FL 33907",Google Maps,Google  
Pine Island DMS,26.60629632,-82.11518847,"10000 STRINGFELLOW ROAD Saint James City, FL, 33956",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),
AandW Bulb Rd DMS,26.52722228,-81.92040057,"14790 A AND W BULB RD Fort Myers, FL, 33908",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),
Bay Oaks DMS,26.45035724,-81.94068298,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,Google; Similar to FMB Elementary School
Lovers Key DMS,26.39383173,-81.86862896,"8700 ESTERO BLVD. Ft Myers Beach, FL, 34134",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),
Lee Health Bonita Springs DMS,26.39539494,-81.80873301,"3501 Health Center Blvd, Bonita Springs, FL 34135",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),https://www.leehealth.org/locations
Wulfert Rd DMS,26.47485934,-82.15874005,"2222 WULFERT RD. Sanibel, FL, 33957",2024 - Sanibel Pre-Authorization for Disaster Debris Management Sites (DDMS),
SR 82 DMS,26.59398777,-81.73965983,"GRIFFIN DR./SR 82 Fort Myers, FL, 33913",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),
Wheeler Rd DMS ,26.74184432,-82.25866374,"305 WHEELER RD Boca Grande, FL, 33921",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),
FMB Elementary School DMS,26.44862285,-81.93910093,"Fort Myers Beach, FL 33931",Google Maps,Google
Canal St DMS,26.62713697,-81.84376354,"3405 Canal St, Fort Myers, FL 33916",Google Maps,Google
USA Mulch LLC FDS,26.50021797,-81.82428529,"16575 GATOR RD Fort Myers, FL, 33912",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),
WM Gulf Coast TC FDS,26.4929429,-81.93485334,"17101 Pine Ridge Rd, Fort Myers Beach, FL 33931",Google Maps,Google; closest site to debris pile
