Row Labels,Sum of CYD
<10/12/2022,
10/12/2022 - 10/18/2022,20448
10/19/2022 - 10/25/2022,23130
10/26/2022 - 11/1/2022,6114
11/2/2022 - 11/8/2022,12825
11/9/2022 - 11/15/2022,1570
11/16/2022 - 11/22/2022,1529
11/23/2022 - 11/29/2022,70
11/30/2022 - 12/6/2022,2724
12/7/2022 - 12/13/2022,1485
12/14/2022 - 12/20/2022,737
12/28/2022 - 1/3/2023,588
1/4/2023 - 1/10/2023,705
1/11/2023 - 1/17/2023,3960
1/18/2023 - 1/24/2023,2958
1/25/2023 - 1/31/2023,957
2/1/2023 - 2/7/2023,5773
2/8/2023 - 2/9/2023,378
Grand Total,85951
