Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
300200-22283-39720,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,C and D,26.4954502,-81.9402687,10/10/2022,Wakehatchee Park DMS,36,5957207
749020-22287-53742,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.46386789,-81.80475642,10/14/2022,Domestic Rd DMS,62,
749216-22288-52696,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.4592007,-81.7972055,10/15/2022,Domestic Rd DMS,38,
710135-22288-57500,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.64951285,-81.64502478,10/15/2022,Civic Center DMS,38,
749043-22284-39438,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.48144114,-81.81548302,10/11/2022,Paige Field Airport DMS,45,
749027-22285-57806,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.4830452,-81.8113218,10/12/2022,Domestic Rd DMS,25,
102499-22282-44789,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.57909752,-81.86488157,10/9/2022,Paige Field Airport DMS,69,
300214-22285-41083,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,C and D,26.72095042,-81.72002572,10/12/2022,Civic Center DMS,28,
690237-22285-56027,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.5824329,-82.1030632,10/12/2022,Pine Island DMS,54,
710144-22280-33411,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,Vegetation,26.5727934,-81.8751778,10/7/2022,Wakehatchee Park DMS,32,
740006-22282-59331,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.73837974,-81.73092983,10/9/2022,Civic Center DMS,35,
330711-22284-62061,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.5417696,-81.9241077,10/11/2022,Wakehatchee Park DMS,52,
102491-22281-48945,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,Vegetation,26.7047643,-81.7558594,10/8/2022,Civic Center DMS,50,
300202-22285-31900,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.5090887,-81.95819645,10/12/2022,Wakehatchee Park DMS,36,
720156-22288-58933,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.6160071,-82.1234538,10/15/2022,Pine Island DMS,54,
700102-22284-48616,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,C and D,26.7085442,-81.7485335,10/11/2022,Civic Center DMS,36,
704399-22288-29210,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.50491258,-81.90678059,10/15/2022,Wakehatchee Park DMS,54,
330013-22284-38629,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.48037254,-81.94819074,10/11/2022,Wakehatchee Park DMS,61,
710143-22280-47760,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,Vegetation,26.5727147,-81.8743909,10/7/2022,Paige Field Airport DMS,25,
330716-22280-62872,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,C and D,26.5207106,-81.9637543,10/7/2022,Wakehatchee Park DMS,40,
330059-22287-56846,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.56070695,-81.91488971,10/14/2022,AandW Bulb Rd DMS,57,
330721-22285-50501,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,C and D,26.5136094,-81.9641649,10/12/2022,Wakehatchee Park DMS,51,
330709-22285-49218,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.54555104,-81.9208787,10/12/2022,Wakehatchee Park DMS,50,
300206-22284-53521,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.5286991,-81.9319818,10/11/2022,Wakehatchee Park DMS,40,
330000-22283-31689,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.60190652,-81.75803351,10/10/2022,Paige Field Airport DMS,72,
740082-22286-51404,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,C and D,26.42496325,-81.90618084,10/13/2022,Bay Oaks DMS,45,
330011-22282-56786,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,C and D,26.4728808,-81.9509913,10/9/2022,Wakehatchee Park DMS,57,
1024911-22286-33566,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.56862068,-81.87667097,10/13/2022,Paige Field Airport DMS,50,
740084-22287-38774,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,C and D,26.45088014,-81.94882553,10/14/2022,Bay Oaks DMS,44,
102494-22281-61004,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,Vegetation,26.7124503,-81.6193574,10/8/2022,Civic Center DMS,55,
740006-22285-60086,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.72635587,-81.69797968,10/13/2022,Civic Center DMS,28,
1023756-22285-61001,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.6426563,-81.90988863,10/13/2022,Paige Field Airport DMS,32,
330031-22282-48126,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.47565133,-81.82830357,10/9/2022,Paige Field Airport DMS,64,
102499-22283-35972,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.57708926,-81.8565727,10/10/2022,Paige Field Airport DMS,69,
300205-22279-44984,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/6/2022,Vegetation,26.51193673,-81.95798323,10/6/2022,Wakehatchee Park DMS,27,
330061-22287-59918,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.56044573,-81.91997107,10/14/2022,Wakehatchee Park DMS,60,
300200-22279-37019,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/6/2022,C and D,26.4969311,-81.9424233,10/6/2022,Wakehatchee Park DMS,29,
727802-22279-30586,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/6/2022,C and D,26.496943,-81.9412694,10/6/2022,Wakehatchee Park DMS,42,
330714-22282-27537,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.5177739,-81.9680104,10/9/2022,Wakehatchee Park DMS,62,
330710-22281-33618,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,Vegetation,26.51470078,-81.96666447,10/8/2022,Wakehatchee Park DMS,50,
740148-22287-30252,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.58996688,-81.89229134,10/14/2022,Paige Field Airport DMS,51,
700107-22288-30307,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.5888419,-81.6480337,10/15/2022,Civic Center DMS,32,
300211-22283-50857,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.7189397,-81.6863225,10/10/2022,Civic Center DMS,18,
102494-22282-28145,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.7135965,-81.6186995,10/9/2022,Civic Center DMS,55,
330715-22284-51340,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.5490329,-81.9159593,10/11/2022,Wakehatchee Park DMS,37,
330010-22288-29360,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,C and D,26.50328016,-81.94198239,10/15/2022,Wakehatchee Park DMS,28,
700106-22282-30816,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.57677803,-81.86068066,10/9/2022,Paige Field Airport DMS,49,
700105-22283-62795,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.57297768,-81.8639488,10/10/2022,Paige Field Airport DMS,58,
330716-22280-47992,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,C and D,26.5209494,-81.9646807,10/7/2022,Wakehatchee Park DMS,45,
300206-22281-44915,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,C and D,26.5155976,-81.9522072,10/8/2022,Wakehatchee Park DMS,66,
300232-22282-54056,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.57638904,-81.89987845,10/9/2022,Paige Field Airport DMS,52,
330702-22281-31081,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,Vegetation,26.5176098,-81.84204376,10/8/2022,Wakehatchee Park DMS,40,
102496-22286-54169,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.52344113,-81.8446539,10/13/2022,Paige Field Airport DMS,46,
710161-22285-27592,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,C and D,26.71172526,-81.75575772,10/12/2022,Civic Center DMS,40,
300200-22280-40221,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,C and D,26.4977486,-81.9400369,10/7/2022,Wakehatchee Park DMS,47,
720156-22285-56088,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.6163295,-82.1213966,10/12/2022,Pine Island DMS,46,
749043-22286-59160,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.4797588,-81.8168794,10/13/2022,Domestic Rd DMS,49,
710155-22282-59571,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.73129902,-81.76514795,10/9/2022,Civic Center DMS,36,
300214-22285-33814,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,C and D,26.72074595,-81.72003117,10/12/2022,Civic Center DMS,55,
330018-22284-62061,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.5121302,-81.8271731,10/11/2022,Wakehatchee Park DMS,64,
300210-22282-36405,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.51363819,-81.9608708,10/9/2022,Wakehatchee Park DMS,48,
700109-22285-40191,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.6055565,-81.6601958,10/12/2022,Civic Center DMS,47,
749052-22288-34907,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.48064406,-81.8166326,10/15/2022,Domestic Rd DMS,72,
330031-22288-46791,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.57714034,-81.86826739,10/15/2022,Paige Field Airport DMS,64,
720157-22288-60338,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.6148046,-82.1213193,10/15/2022,Pine Island DMS,43,
710163-22286-61978,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.5443847,-82.0883997,10/13/2022,Pine Island DMS,47,
710161-22288-39565,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,C and D,26.7151021,-81.75679018,10/15/2022,Civic Center DMS,37,
740006-22283-56760,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.73947732,-81.73093254,10/10/2022,Civic Center DMS,49,
740005-22287-45459,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.73551743,-81.69162037,10/14/2022,Civic Center DMS,53,
745021-22287-53456,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.47738387,-81.80282675,10/14/2022,Domestic Rd DMS,60,
740006-22282-62426,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.73869105,-81.73092049,10/10/2022,Civic Center DMS,39,
300206-22279-35013,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/6/2022,Vegetation,26.5126471,-81.9531009,10/6/2022,Wakehatchee Park DMS,62,
690237-22288-33051,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.5822718,-82.1045549,10/15/2022,Pine Island DMS,54,
300210-22281-49356,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,Vegetation,26.51361522,-81.96265202,10/8/2022,Wakehatchee Park DMS,43,
300206-22279-65835,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/6/2022,Vegetation,26.5148907,-81.9518981,10/6/2022,Wakehatchee Park DMS,62,
749021-22286-29494,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.49061838,-81.81217934,10/13/2022,Domestic Rd DMS,38,
749028-22287-37800,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.4894969,-81.8070366,10/14/2022,Domestic Rd DMS,21,
330036-22286-33372,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.6268808,-81.6838406,10/13/2022,Civic Center DMS,49,
330018-22280-56073,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,Vegetation,26.5131439,-81.8232647,10/7/2022,Wakehatchee Park DMS,56,
710158-22285-30738,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.61189377,-82.11899538,10/12/2022,Pine Island DMS,21,
330055-22279-60246,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/6/2022,Vegetation,26.5213324,-81.8329442,10/6/2022,Wakehatchee Park DMS,53,
720163-22283-32524,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.5019818,-81.867895,10/10/2022,Wakehatchee Park DMS,44,
740147-22288-62443,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.5382569,-82.0948424,10/15/2022,Pine Island DMS,57,
330713-22281-64917,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,Vegetation,26.5178413,-81.9680082,10/8/2022,Wakehatchee Park DMS,52,
330031-22287-59138,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.57719085,-81.86817165,10/14/2022,Paige Field Airport DMS,68,
330010-22285-53030,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,C and D,26.48197655,-81.94345751,10/12/2022,Wakehatchee Park DMS,60,
740076-22286-32788,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.56530159,-81.86562639,10/13/2022,Paige Field Airport DMS,29,
330712-22284-57032,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.5414062,-81.924176,10/11/2022,Wakehatchee Park DMS,62,
330025-22278-46774,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/5/2022,Vegetation,26.5794237,-81.7493021,10/5/2022,Civic Center DMS,25,
330021-22278-51188,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/5/2022,Vegetation,26.5717539,-81.7441886,10/5/2022,Civic Center DMS,36,
300233-22283-35455,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.71432722,-81.75279008,10/10/2022,Civic Center DMS,48,
102499-22280-66867,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,Vegetation,26.57714026,-81.86210313,10/7/2022,Paige Field Airport DMS,43,
330710-22280-49910,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,Vegetation,26.51621616,-81.96503078,10/7/2022,Wakehatchee Park DMS,36,
102495-22281-33896,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,Vegetation,26.7108336,-81.6211797,10/8/2022,Civic Center DMS,54,
749053-22286-39845,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,C and D,26.4162907,-81.9010675,10/13/2022,Bay Oaks DMS,44,
720163-22286-52258,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.5090869,-81.8718256,10/13/2022,Wakehatchee Park DMS,44,
330720-22279-38967,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/6/2022,Vegetation,26.5203013,-81.9597113,10/6/2022,Wakehatchee Park DMS,56,
330701-22283-59412,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.52003146,-81.85000842,10/10/2022,Paige Field Airport DMS,57,
330713-22285-39025,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.5479595,-81.9148684,10/12/2022,Wakehatchee Park DMS,44,
330003-22283-29631,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.60554736,-81.75547998,10/10/2022,Paige Field Airport DMS,52,
710134-22288-43984,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.6050449,-81.6917036,10/15/2022,Civic Center DMS,42,
740146-22287-41430,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,Vegetation,26.6168119,-82.1160216,10/14/2022,Pine Island DMS,62,
330054-22280-47645,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,Vegetation,26.5240993,-81.8310113,10/7/2022,Wakehatchee Park DMS,48,
300215-22282-50291,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/9/2022,Vegetation,26.7200279,-81.7125201,10/9/2022,Civic Center DMS,46,
300215-22287-48980,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,C and D,26.72056406,-81.72213151,10/14/2022,Civic Center DMS,46,
330031-22284-42797,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.475534,-81.8284082,10/11/2022,Paige Field Airport DMS,56,
102496-22281-54288,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/8/2022,Vegetation,26.51306782,-81.87119427,10/8/2022,Wakehatchee Park DMS,53,
330031-22284-35927,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,Vegetation,26.4752389,-81.82827526,10/11/2022,Paige Field Airport DMS,60,
749027-22288-40787,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/15/2022,Vegetation,26.4777682,-81.8116739,10/15/2022,Domestic Rd DMS,50,
330012-22280-43453,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/7/2022,C and D,26.4720202,-81.955567,10/7/2022,Wakehatchee Park DMS,58,
102493-22283-37803,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,Vegetation,26.713702,-81.65574557,10/10/2022,Civic Center DMS,44,
740080-22285-38154,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,Vegetation,26.47322623,-81.82025174,10/12/2022,Paige Field Airport DMS,50,
749117-22286-64455,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,Vegetation,26.66624906,-81.88302905,10/13/2022,Civic Center DMS,55,
