osmid,y,x,street_count,highway,ref,geometry
96349751,26.327755,-81.827147,3,,,POINT (-81.827147 26.327755)
96349753,26.327764,-81.824388,4,,,POINT (-81.824388 26.327764)
96356428,26.329519,-81.827157,3,,,POINT (-81.827157 26.329519)
96356429,26.329538,-81.824027,4,,,POINT (-81.824027 26.329538)
96356436,26.3295496,-81.8190603,3,,,POINT (-81.8190603 26.3295496)
96356437,26.3294,-81.8297446,1,,,POINT (-81.8297446 26.3294)
96356439,26.329411,-81.827159,3,,,POINT (-81.827159 26.329411)
96356952,26.32391,-81.842512,1,,,POINT (-81.842512 26.32391)
96356954,26.324181,-81.841675,3,,,POINT (-81.841675 26.324181)
96363328,26.3301261,-81.8405932,3,,,POINT (-81.8405932 26.3301261)
96363332,26.33016,-81.840104,1,,,POINT (-81.840104 26.33016)
96363335,26.3302,-81.8407188,3,,,POINT (-81.8407188 26.3302)
96363338,26.3301051,-81.8408281,3,,,POINT (-81.8408281 26.3301051)
96363352,26.330159,-81.841143,1,,,POINT (-81.841143 26.330159)
96367451,26.323063,-81.842203,1,,,POINT (-81.842203 26.323063)
96367452,26.323351,-81.84131,3,,,POINT (-81.84131 26.323351)
96368771,26.329743,-81.843129,3,,,POINT (-81.843129 26.329743)
96368774,26.328972,-81.844287,1,,,POINT (-81.844287 26.328972)
96368780,26.3293087,-81.8443718,3,,,POINT (-81.8443718 26.3293087)
96369486,26.328359,-81.829751,1,,,POINT (-81.829751 26.328359)
96369487,26.328364,-81.827152,3,,,POINT (-81.827152 26.328364)
96369488,26.328628,-81.827155,3,,,POINT (-81.827155 26.328628)
96369514,26.328653,-81.824175,4,,,POINT (-81.824175 26.328653)
96374264,26.326295,-81.843574,1,,,POINT (-81.843574 26.326295)
96374269,26.326622,-81.842759,3,,,POINT (-81.842759 26.326622)
96375460,26.322415,-81.825544,3,,,POINT (-81.825544 26.322415)
96375465,26.32335,-81.824846,3,,,POINT (-81.824846 26.32335)
96375474,26.324257,-81.824393,4,,,POINT (-81.824393 26.324257)
96375475,26.324769,-81.824321,3,,,POINT (-81.824321 26.324769)
96375476,26.326895,-81.823979,3,,,POINT (-81.823979 26.326895)
96376029,26.328728,-81.844516,1,,,POINT (-81.844516 26.328728)
