WKT,fid,osmid,y,x,street_count,highway,ref
"POINT (-81.885036 26.518882)",21,98011186,26.518882,-81.885036,3,,
"POINT (-81.885196 26.518531)",22,98011191,26.518531,-81.885196,2,,
"POINT (-81.885342 26.517658)",23,98011223,26.517658,-81.885342,1,turning_circle,
"POINT (-81.8881544 26.5219825)",152,98021151,26.5219825,-81.8881544,4,,
"POINT (-81.8880576 26.5217543)",153,98021155,26.5217543,-81.8880576,3,,
"POINT (-81.868044 26.5328821)",154,98021231,26.5328821,-81.868044,3,,
"POINT (-81.896709 26.526655)",168,98022211,26.526655,-81.896709,1,,
"POINT (-81.8713781 26.5306888)",172,98022475,26.5306888,-81.8713781,3,,
"POINT (-81.872608 26.530654)",173,98022479,26.530654,-81.872608,3,,
"POINT (-81.8733447 26.5308346)",174,98022484,26.5308346,-81.8733447,3,,
"POINT (-81.8733279 26.5298605)",175,98022493,26.5298605,-81.8733279,3,,
"POINT (-81.8726055 26.5303074)",176,98022497,26.5303074,-81.8726055,3,,
"POINT (-81.8713728 26.5303513)",177,98022506,26.5303513,-81.8713728,3,,
"POINT (-81.8715373 26.5246602)",187,98023184,26.5246602,-81.8715373,1,turning_loop,
"POINT (-81.918314 26.527039)",244,98027842,26.527039,-81.918314,3,,
"POINT (-81.91831 26.526273)",245,98027843,26.526273,-81.91831,3,,
"POINT (-81.918311 26.526128)",246,98027845,26.526128,-81.918311,3,,
"POINT (-81.917542 26.5244)",247,98027876,26.5244,-81.917542,3,,
"POINT (-81.91589 26.524614)",248,98027890,26.524614,-81.91589,4,,
"POINT (-81.891939 26.515202)",261,98029304,26.515202,-81.891939,3,,
"POINT (-81.891947 26.515875)",262,98029308,26.515875,-81.891947,3,,
"POINT (-81.894171 26.516191)",263,98029324,26.516191,-81.894171,3,,
"POINT (-81.894237 26.514226)",264,98029338,26.514226,-81.894237,3,,
"POINT (-81.89413 26.514132)",265,98029340,26.514132,-81.89413,3,,
"POINT (-81.893091 26.514137)",266,98029346,26.514137,-81.893091,3,,
"POINT (-81.891994 26.514192)",267,98029351,26.514192,-81.891994,3,,
"POINT (-81.891952 26.514247)",268,98029353,26.514247,-81.891952,3,,
"POINT (-81.901661 26.522255)",284,98030116,26.522255,-81.901661,3,,
"POINT (-81.900902 26.529465)",324,98032266,26.529465,-81.900902,3,,
"POINT (-81.8788266 26.5170432)",522,98040418,26.5170432,-81.8788266,3,,
"POINT (-81.878225 26.516427)",523,98040434,26.516427,-81.878225,3,,
"POINT (-81.890913 26.532657)",558,98042552,26.532657,-81.890913,3,,
"POINT (-81.888441 26.532726)",559,98042569,26.532726,-81.888441,3,,
"POINT (-81.898912 26.524321)",746,98050973,26.524321,-81.898912,3,,
"POINT (-81.899479 26.524313)",747,98050978,26.524313,-81.899479,3,,
"POINT (-81.900351 26.5243)",748,98050980,26.5243,-81.900351,3,,
"POINT (-81.901237 26.524287)",749,98050986,26.524287,-81.901237,3,,
"POINT (-81.902065 26.524277)",750,98050988,26.524277,-81.902065,3,,
"POINT (-81.902921 26.524261)",751,98050992,26.524261,-81.902921,3,,
"POINT (-81.903258 26.524257)",752,98050995,26.524257,-81.903258,1,,
"POINT (-81.900719 26.48861)",792,98053164,26.48861,-81.900719,3,,
"POINT (-81.899236 26.487826)",793,98053177,26.487826,-81.899236,3,,
"POINT (-81.8848192 26.4070972)",797,98053284,26.4070972,-81.8848192,3,,
"POINT (-81.8844258 26.4063622)",798,98053295,26.4063622,-81.8844258,1,,
"POINT (-81.874689 26.524633)",823,98054410,26.524633,-81.874689,3,,
"POINT (-81.8748007 26.5222584)",824,98054440,26.5222584,-81.8748007,3,,
"POINT (-81.874795 26.521504)",825,98054450,26.521504,-81.874795,3,,
"POINT (-81.895055 26.407529)",832,98054683,26.407529,-81.895055,3,,
"POINT (-81.916212 26.525856)",833,98054746,26.525856,-81.916212,3,,
"POINT (-81.91633 26.525635)",834,98054764,26.525635,-81.91633,3,,
"POINT (-81.902959 26.526053)",842,98055130,26.526053,-81.902959,1,turning_circle,
"POINT (-81.916477 26.531836)",897,98058580,26.531836,-81.916477,3,,
"POINT (-81.916652 26.532143)",898,98058585,26.532143,-81.916652,3,,
"POINT (-81.916812 26.531836)",900,98058615,26.531836,-81.916812,3,,
"POINT (-81.912106 26.432122)",958,98062323,26.432122,-81.912106,3,,
"POINT (-81.913219 26.432645)",959,98062337,26.432645,-81.913219,3,,
"POINT (-81.913639 26.432986)",960,98062341,26.432986,-81.913639,1,,
"POINT (-81.8987588 26.5133076)",978,98063976,26.5133076,-81.8987588,3,,
"POINT (-81.897736 26.513346)",979,98063979,26.513346,-81.897736,4,,
"POINT (-81.8963234 26.513373)",980,98063981,26.513373,-81.8963234,3,,
"POINT (-81.883773 26.53338)",982,98064275,26.53338,-81.883773,3,,
"POINT (-81.8976083 26.4964537)",994,98064758,26.4964537,-81.8976083,3,,
"POINT (-81.8980533 26.4960825)",995,98064760,26.4960825,-81.8980533,1,turning_loop,
"POINT (-81.899141 26.531585)",1001,98065022,26.531585,-81.899141,4,,
"POINT (-81.901362 26.531791)",1002,98065041,26.531791,-81.901362,3,,
"POINT (-81.902247 26.531788)",1003,98065046,26.531788,-81.902247,3,,
"POINT (-81.90496 26.531853)",1004,98065062,26.531853,-81.90496,3,,
"POINT (-81.908218 26.531767)",1005,98065065,26.531767,-81.908218,3,,
"POINT (-81.8892865 26.5221921)",1026,98065793,26.5221921,-81.8892865,3,,
"POINT (-81.887206 26.521752)",1027,98065801,26.521752,-81.887206,1,,
"POINT (-81.8976798 26.5078262)",1043,98068438,26.5078262,-81.8976798,5,,
"POINT (-81.895512 26.508214)",1044,98068454,26.508214,-81.895512,3,,
"POINT (-81.892626 26.508306)",1045,98068473,26.508306,-81.892626,3,,
"POINT (-81.890587 26.508289)",1046,98068497,26.508289,-81.890587,3,,
"POINT (-81.8922203 26.5236847)",1060,98069258,26.5236847,-81.8922203,3,,
"POINT (-81.893398 26.522173)",1061,98069271,26.522173,-81.893398,3,,
"POINT (-81.8933885 26.5216365)",1062,98069297,26.5216365,-81.8933885,4,,
"POINT (-81.900151 26.530209)",1157,98073950,26.530209,-81.900151,3,,
"POINT (-81.900332 26.529987)",1158,98073953,26.529987,-81.900332,3,,
"POINT (-81.900484 26.529876)",1159,98073955,26.529876,-81.900484,3,,
"POINT (-81.901026 26.529261)",1160,98073966,26.529261,-81.901026,3,,
"POINT (-81.901198 26.528807)",1161,98073973,26.528807,-81.901198,3,,
"POINT (-81.901245 26.528426)",1162,98073976,26.528426,-81.901245,3,,
"POINT (-81.901278 26.528067)",1163,98073977,26.528067,-81.901278,3,,
"POINT (-81.901028 26.526428)",1164,98073991,26.526428,-81.901028,4,,
"POINT (-81.90058 26.525775)",1165,98074008,26.525775,-81.90058,4,,
"POINT (-81.899025 26.53033)",1166,98074027,26.53033,-81.899025,3,,
"POINT (-81.899591 26.530282)",1167,98074031,26.530282,-81.899591,3,,
"POINT (-81.908071 26.425265)",1173,98074455,26.425265,-81.908071,3,,
"POINT (-81.907005 26.424041)",1174,98074465,26.424041,-81.907005,1,,
"POINT (-81.898756 26.52745)",1212,98075446,26.52745,-81.898756,3,,
"POINT (-81.898076 26.527463)",1213,98075448,26.527463,-81.898076,1,,
"POINT (-81.902255 26.532731)",1247,98076677,26.532731,-81.902255,1,turning_circle,
"POINT (-81.916401 26.527084)",1340,98080660,26.527084,-81.916401,3,,
"POINT (-81.916248 26.527226)",1341,98080674,26.527226,-81.916248,3,,
"POINT (-81.9043939 26.5228636)",1382,98081646,26.5228636,-81.9043939,1,turning_loop,
"POINT (-81.904623 26.522606)",1383,98081665,26.522606,-81.904623,3,,
"POINT (-81.904833 26.529269)",1463,98083465,26.529269,-81.904833,4,,
"POINT (-81.873887 26.504451)",1467,98083679,26.504451,-81.873887,2,,
"POINT (-81.873393 26.504556)",1468,98083694,26.504556,-81.873393,3,,
"POINT (-81.9085086 26.5267528)",1527,98085257,26.5267528,-81.9085086,3,,
"POINT (-81.907988 26.526873)",1528,98085296,26.526873,-81.907988,3,,
"POINT (-81.9073025 26.5266843)",1529,98085311,26.5266843,-81.9073025,1,,
"POINT (-81.912101 26.431476)",1578,98087995,26.431476,-81.912101,3,,
"POINT (-81.910259 26.431486)",1579,98088001,26.431486,-81.910259,1,,
"POINT (-81.898974 26.502934)",1582,98088426,26.502934,-81.898974,4,,
"POINT (-81.899704 26.50313)",1583,98088440,26.50313,-81.899704,3,,
"POINT (-81.902597 26.50387)",1584,98088533,26.50387,-81.902597,3,,
"POINT (-81.901173 26.502883)",1585,98088567,26.502883,-81.901173,3,,
"POINT (-81.91876 26.532715)",1599,98089921,26.532715,-81.91876,3,,
"POINT (-81.918286 26.532766)",1601,98090041,26.532766,-81.918286,3,,
"POINT (-81.864318 26.504015)",1626,98090905,26.504015,-81.864318,3,,
"POINT (-81.8872309 26.5206163)",1667,98093020,26.5206163,-81.8872309,3,,
"POINT (-81.887215 26.519848)",1668,98093022,26.519848,-81.887215,3,,
"POINT (-81.887164 26.516937)",1669,98093026,26.516937,-81.887164,3,,
"POINT (-81.904909 26.423218)",1683,98093609,26.423218,-81.904909,3,,
"POINT (-81.9047103 26.4233448)",1684,98093611,26.4233448,-81.9047103,3,,
"POINT (-81.9045097 26.4234881)",1685,98093613,26.4234881,-81.9045097,3,,
"POINT (-81.902299 26.42512)",1686,98093619,26.42512,-81.902299,1,,
"POINT (-81.905418 26.426031)",1733,98096713,26.426031,-81.905418,3,,
"POINT (-81.904163 26.431017)",1734,98096766,26.431017,-81.904163,1,,
"POINT (-81.88826 26.40546)",1806,98098767,26.40546,-81.88826,1,,
"POINT (-81.888269 26.406148)",1807,98098769,26.406148,-81.888269,3,,
"POINT (-81.898983 26.528079)",1815,98099220,26.528079,-81.898983,3,,
"POINT (-81.898956 26.526697)",1816,98099222,26.526697,-81.898956,3,,
"POINT (-81.898942 26.525982)",1817,98099224,26.525982,-81.898942,3,,
"POINT (-81.898926 26.525064)",1818,98099226,26.525064,-81.898926,3,,
"POINT (-81.898925 26.524985)",1819,98099228,26.524985,-81.898925,3,,
"POINT (-81.8989076 26.5236772)",1820,98099230,26.5236772,-81.8989076,4,,
"POINT (-81.8987868 26.5206272)",1821,98099245,26.5206272,-81.8987868,4,traffic_signals,
"POINT (-81.898781 26.5204581)",1822,98099246,26.5204581,-81.898781,4,traffic_signals,
"POINT (-81.8987423 26.5185586)",1823,98099247,26.5185586,-81.8987423,4,,
"POINT (-81.8984491 26.4801899)",1824,98099334,26.4801899,-81.8984491,3,,
"POINT (-81.8985535 26.4833863)",1825,98099340,26.4833863,-81.8985535,3,,
"POINT (-81.898579 26.485563)",1826,98099341,26.485563,-81.898579,3,,
"POINT (-81.898632 26.487839)",1827,98099345,26.487839,-81.898632,3,,
"POINT (-81.898655 26.488857)",1828,98099347,26.488857,-81.898655,3,,
"POINT (-81.898718 26.490863)",1829,98099351,26.490863,-81.898718,3,,
"POINT (-81.898721 26.490968)",1830,98099353,26.490968,-81.898721,3,,
"POINT (-81.8987264 26.4911137)",1831,98099355,26.4911137,-81.8987264,3,,
"POINT (-81.898727 26.49124)",1832,98099359,26.49124,-81.898727,3,,
"POINT (-81.898769 26.493736)",1833,98099365,26.493736,-81.898769,3,,
"POINT (-81.898803 26.49519)",1834,98099369,26.49519,-81.898803,3,,
"POINT (-81.89885 26.497672)",1835,98099377,26.497672,-81.89885,4,,
"POINT (-81.898907 26.500477)",1836,98099381,26.500477,-81.898907,3,,
"POINT (-81.8990518 26.5077868)",1837,98099391,26.5077868,-81.8990518,4,,
"POINT (-81.8987395 26.5129872)",1838,98099405,26.5129872,-81.8987395,3,,
"POINT (-81.8986757 26.5142996)",1839,98099407,26.5142996,-81.8986757,4,traffic_signals,
"POINT (-81.8986778 26.5145517)",1840,98099409,26.5145517,-81.8986778,4,traffic_signals,
"POINT (-81.8986877 26.515655)",1841,98099413,26.515655,-81.8986877,3,,
"POINT (-81.8988789 26.5185559)",1842,98099416,26.5185559,-81.8988789,4,,
"POINT (-81.8989157 26.5204562)",1843,98099418,26.5204562,-81.8989157,4,traffic_signals,
"POINT (-81.8989179 26.5206271)",1844,98099420,26.5206271,-81.8989179,4,traffic_signals,
"POINT (-81.8988796 26.5218319)",1845,98099423,26.5218319,-81.8988796,4,,
"POINT (-81.873791 26.505781)",1936,98103193,26.505781,-81.873791,3,,
"POINT (-81.873119 26.506157)",1937,98103195,26.506157,-81.873119,3,,
"POINT (-81.9155748 26.5041277)",1940,98103283,26.5041277,-81.9155748,4,,
"POINT (-81.900265 26.526633)",1964,98103882,26.526633,-81.900265,3,,
"POINT (-81.900392 26.527276)",1965,98103884,26.527276,-81.900392,1,turning_circle,
"POINT (-81.866234 26.5242)",1968,98104105,26.5242,-81.866234,1,,
