Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
740082-22286-51404,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,C and D,26.42496325,-81.90618084,10/13/2022,Bay Oaks DMS,45,
740084-22287-38774,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,C and D,26.45088014,-81.94882553,10/14/2022,Bay Oaks DMS,44,
749053-22286-39845,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/13/2022,C and D,26.4162907,-81.9010675,10/13/2022,Bay Oaks DMS,44,
330007-22279-61404,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/06/2022,C and D,26.465756,-81.9523304,10/06/2022,Wakehatchee Park DMS,67,
749100-22283-62742,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/10/2022,C and D,26.4423909,-81.9306054,10/10/2022,Wakehatchee Park DMS,54,
330007-22282-42357,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/09/2022,C and D,26.4692424,-81.9509834,10/09/2022,Wakehatchee Park DMS,67,
330011-22279-55519,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/06/2022,C and D,26.4638086,-81.9541721,10/06/2022,Wakehatchee Park DMS,62,
330011-22281-30089,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/08/2022,C and D,26.4664725,-81.9558078,10/08/2022,Wakehatchee Park DMS,57,
749053-22285-53406,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/12/2022,C and D,26.40456022,-81.88591773,10/12/2022,Bay Oaks DMS,44,
749018-22284-34021,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/11/2022,C and D,26.41588414,-81.901072,10/11/2022,Wakehatchee Park DMS,66,
740083-22287-57464,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/14/2022,C and D,26.45228257,-81.95341651,10/14/2022,Bay Oaks DMS,41,
300206-22282-54852,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,10/09/2022,C and D,26.4533686,-81.9554197,10/09/2022,Wakehatchee Park DMS,48,
