WKT,fid,osmid,y,x,street_count,highway,ref
"POINT (-81.8848192 26.4070972)",1,98053284,26.4070972,-81.8848192,3,,
"POINT (-81.8844258 26.4063622)",2,98053295,26.4063622,-81.8844258,1,,
"POINT (-81.895055 26.407529)",3,98054683,26.407529,-81.895055,3,,
"POINT (-81.912106 26.432122)",4,98062323,26.432122,-81.912106,3,,
"POINT (-81.913219 26.432645)",5,98062337,26.432645,-81.913219,3,,
"POINT (-81.913639 26.432986)",6,98062341,26.432986,-81.913639,1,,
"POINT (-81.908071 26.425265)",7,98074455,26.425265,-81.908071,3,,
"POINT (-81.907005 26.424041)",8,98074465,26.424041,-81.907005,1,,
"POINT (-81.912101 26.431476)",9,98087995,26.431476,-81.912101,3,,
"POINT (-81.910259 26.431486)",10,98088001,26.431486,-81.910259,1,,
"POINT (-81.904909 26.423218)",11,98093609,26.423218,-81.904909,3,,
"POINT (-81.9047103 26.4233448)",12,98093611,26.4233448,-81.9047103,3,,
"POINT (-81.9045097 26.4234881)",13,98093613,26.4234881,-81.9045097,3,,
"POINT (-81.902299 26.42512)",14,98093619,26.42512,-81.902299,1,,
"POINT (-81.905418 26.426031)",15,98096713,26.426031,-81.905418,3,,
"POINT (-81.904163 26.431017)",16,98096766,26.431017,-81.904163,1,,
"POINT (-81.88826 26.40546)",17,98098767,26.40546,-81.88826,1,,
"POINT (-81.888269 26.406148)",18,98098769,26.406148,-81.888269,3,,
"POINT (-81.9110969 26.4276028)",19,98105248,26.4276028,-81.9110969,1,,
"POINT (-81.910741 26.427893)",20,98105250,26.427893,-81.910741,4,,
"POINT (-81.909955 26.428561)",21,98105254,26.428561,-81.909955,3,,
"POINT (-81.903186 26.420623)",22,98124288,26.420623,-81.903186,3,,
"POINT (-81.899233 26.423503)",23,98124294,26.423503,-81.899233,1,,
"POINT (-81.92342 26.4382)",24,98125738,26.4382,-81.92342,4,,
"POINT (-81.918062 26.434305)",25,98128527,26.434305,-81.918062,3,,
"POINT (-81.917225 26.435303)",26,98128539,26.435303,-81.917225,3,,
"POINT (-81.916457 26.434768)",27,98128546,26.434768,-81.916457,3,,
"POINT (-81.913153 26.434192)",28,98128554,26.434192,-81.913153,3,,
"POINT (-81.884939 26.404842)",29,98153412,26.404842,-81.884939,4,,
"POINT (-81.8845141 26.4078093)",30,98153441,26.4078093,-81.8845141,1,turning_loop,
"POINT (-81.906366 26.4242508)",31,98157371,26.4242508,-81.906366,3,,
"POINT (-81.887127 26.405423)",32,98166589,26.405423,-81.887127,1,,
"POINT (-81.887128 26.405889)",33,98166591,26.405889,-81.887128,3,,
"POINT (-81.9227084 26.4376888)",34,98170208,26.4376888,-81.9227084,3,,
"POINT (-81.912109 26.432351)",35,98203979,26.432351,-81.912109,3,,
"POINT (-81.910293 26.432368)",36,98203983,26.432368,-81.910293,1,,
"POINT (-81.8975349 26.4200771)",37,98206415,26.4200771,-81.8975349,1,turning_loop,
"POINT (-81.8988 26.422587)",38,98206428,26.422587,-81.8988,3,,
"POINT (-81.9070876 26.4237222)",39,98218152,26.4237222,-81.9070876,1,,
"POINT (-81.9066806 26.4240156)",40,98218157,26.4240156,-81.9066806,3,,
"POINT (-81.9051243 26.425102)",41,98218165,26.425102,-81.9051243,3,,
"POINT (-81.9033952 26.426358)",42,98218174,26.426358,-81.9033952,1,turning_circle,
"POINT (-81.914948 26.432989)",43,98231941,26.432989,-81.914948,1,,
"POINT (-81.913871 26.432065)",44,98231946,26.432065,-81.913871,4,,
"POINT (-81.887306 26.408614)",45,98235454,26.408614,-81.887306,3,,
"POINT (-81.887866 26.408636)",46,98235466,26.408636,-81.887866,3,,
"POINT (-81.888563 26.408957)",47,98235475,26.408957,-81.888563,3,,
"POINT (-81.893052 26.411553)",48,98235542,26.411553,-81.893052,3,,
"POINT (-81.89317 26.411584)",49,98235544,26.411584,-81.89317,3,,
"POINT (-81.897108 26.411402)",50,98235590,26.411402,-81.897108,3,,
"POINT (-81.898483 26.409758)",51,98235630,26.409758,-81.898483,4,,
"POINT (-81.8984 26.409653)",52,98235674,26.409653,-81.8984,3,,
"POINT (-81.911293 26.42985)",53,98241915,26.42985,-81.911293,3,,
"POINT (-81.910242 26.42884)",54,98241918,26.42884,-81.910242,3,,
"POINT (-81.909125 26.4277835)",55,98241924,26.4277835,-81.909125,3,,
"POINT (-81.908614 26.427298)",56,98241934,26.427298,-81.908614,3,,
"POINT (-81.8942 26.4151995)",57,98243788,26.4151995,-81.8942,3,,
"POINT (-81.8943634 26.4152698)",58,98243793,26.4152698,-81.8943634,3,,
"POINT (-81.900838 26.415216)",59,98243801,26.415216,-81.900838,3,,
"POINT (-81.9004532 26.4152372)",60,98243803,26.4152372,-81.9004532,3,,
"POINT (-81.8841963 26.4047774)",61,98248812,26.4047774,-81.8841963,4,,
"POINT (-81.9247624 26.4390708)",62,98272065,26.4390708,-81.9247624,4,,
"POINT (-81.924111 26.438678)",63,98272072,26.438678,-81.924111,3,,
"POINT (-81.922039 26.437222)",64,98272073,26.437222,-81.922039,3,,
"POINT (-81.9205098 26.4361169)",65,98272079,26.4361169,-81.9205098,3,,
"POINT (-81.919555 26.435414)",66,98272090,26.435414,-81.919555,3,,
"POINT (-81.918787 26.434844)",67,98272096,26.434844,-81.918787,3,,
"POINT (-81.916437 26.433102)",68,98272103,26.433102,-81.916437,3,,
"POINT (-81.914518 26.431482)",69,98272109,26.431482,-81.914518,4,,
"POINT (-81.9125578 26.429782)",70,98272120,26.429782,-81.9125578,3,,
"POINT (-81.91208 26.429181)",71,98272125,26.429181,-81.91208,4,,
"POINT (-81.909408 26.426618)",72,98272136,26.426618,-81.909408,4,,
"POINT (-81.907901 26.425489)",73,98272162,26.425489,-81.907901,3,,
"POINT (-81.906821 26.425303)",74,98272180,26.425303,-81.906821,4,,
"POINT (-81.90539 26.423895)",75,98272207,26.423895,-81.90539,3,,
"POINT (-81.9052523 26.4237198)",76,98272215,26.4237198,-81.9052523,3,,
"POINT (-81.905143 26.423571)",77,98272222,26.423571,-81.905143,3,,
"POINT (-81.904361 26.422395)",78,98272226,26.422395,-81.904361,3,,
"POINT (-81.903802 26.421548)",79,98272231,26.421548,-81.903802,3,,
"POINT (-81.902649 26.4198)",80,98272235,26.4198,-81.902649,3,,
"POINT (-81.902606 26.419723)",81,98272236,26.419723,-81.902606,3,,
"POINT (-81.901581 26.417219)",82,98272245,26.417219,-81.901581,3,,
"POINT (-81.899579 26.411833)",83,98272259,26.411833,-81.899579,3,,
"POINT (-81.899549 26.411751)",84,98272261,26.411751,-81.899549,3,,
"POINT (-81.896228 26.407141)",85,98272281,26.407141,-81.896228,3,,
"POINT (-81.896134 26.40704)",86,98272282,26.40704,-81.896134,3,,
"POINT (-81.894552 26.405797)",87,98272296,26.405797,-81.894552,3,,
"POINT (-81.892473 26.40486)",88,98272308,26.40486,-81.892473,3,,
"POINT (-81.890671 26.404487)",89,98272332,26.404487,-81.890671,3,,
"POINT (-81.889438 26.404434)",90,98272355,26.404434,-81.889438,3,,
