fid,Load_Date,fldDebrisC,Pile_Latit,Pile_Longi
1,10/22/2022,C and D,26.4219963,-81.9040938
2,02/02/2023,Dirty Sand Soil,26.4218331,-81.9040629
3,02/02/2023,Dirty Sand Soil,26.4245464,-81.9058448
4,11/07/2022,C and D,26.4602757716,-81.9474075248
5,10/17/2022,C and D,26.4307674268,-81.9136317427
6,02/04/2023,C and D,26.4477022,-81.9400182
7,10/12/2022,Dirty Sand Soil,26.4489607,-81.9434134
8,11/19/2022,C and D,26.4057941575,-81.8948400263
9,11/17/2022,C and D,26.4334919,-81.9169829
10,02/15/2023,C and D,26.4632424,-81.9531722
11,11/02/2022,C and D,26.4076029416,-81.8966677041
12,12/04/2022,C and D,26.4284077,-81.9115357
13,12/06/2022,C and D,26.4580510604,-81.9406848495
14,10/21/2022,C and D,26.4306665278,-81.9134145897
15,10/16/2022,C and D,26.4048538523,-81.8844870724
16,11/16/2022,Dirty Sand Soil,26.4048063,-81.8845057
17,03/03/2023,Residual Compact CD,26.4482471,-81.9404325
18,11/19/2022,C and D,26.4655546168,-81.9552166407
19,12/12/2022,C and D,26.4588267401,-81.9409111569
20,12/12/2022,C and D,26.4484065,-81.942066
21,12/04/2022,Vegetation,26.4366375,-81.9212558
22,11/04/2022,C and D,26.4172628755,-81.9015886356
23,11/16/2022,C and D,26.4428699669,-81.9310839911
24,10/28/2022,C and D,26.4186058192,-81.9021652675
25,01/22/2023,C and D,26.4172304,-81.9016406
26,12/12/2022,C and D,26.4581502734,-81.939736924
27,11/07/2022,C and D,26.4604973103,-81.9477501081
28,10/24/2022,C and D,26.4255585289,-81.9078331535
29,10/31/2022,Dirty Sand Soil,26.4238711,-81.9051616
30,12/07/2022,C and D,26.4613182,-81.9522011
31,12/15/2022,C and D,26.4638401,-81.9540994
32,12/03/2022,C and D,26.4610380724,-81.9537827822
33,12/06/2022,C and D,26.4612101702,-81.9521884892
34,03/17/2023,C and D,26.4336287,-81.9171754
35,11/07/2022,C and D,26.427953214,-81.9109523929
36,11/16/2022,C and D,26.4346629102,-81.9185907394
37,11/16/2022,C and D,26.4662429,-81.9556854
38,12/06/2022,C and D,26.4209921519,-81.9037706126
39,12/11/2022,C and D,26.4208019,-81.9033775
40,12/04/2022,C and D,26.4180168,-81.9019283
41,11/13/2022,C and D,26.4332283,-81.9165559
42,11/04/2022,C and D,26.404841356,-81.8847036269
43,11/03/2022,C and D,26.4045172876,-81.8908444135
44,11/09/2022,C and D,26.4421684435,-81.9299062249
45,11/04/2022,C and D,26.4046114133,-81.8919113167
