WKT,fid,u,v,osmid,name,highway,oneway,reversed,length,lanes,ref,access,service,maxspeed,bridge,junction,tunnel,area,width,split_CYD
"LINESTRING (-81.885036 26.518882,-81.885106 26.518742,-81.885133 26.518606,-81.885196 26.518531)",60,98011186,98011191,11005919,Sandelwood Circle West,residential,True,False,42.846,,,,,,,,,,,355.4166666666667
"LINESTRING (-81.885036 26.518882,-81.88478 26.51888,-81.884388 26.518885,-81.883669 26.518885,-81.883177 26.518874,-81.8830916 26.5188852)",61,98011186,98197945,11022434,Maida Lane,residential,False,False,193.571,,,,,,,,,,,696.6666666666667
"LINESTRING (-81.885036 26.518882,-81.885059 26.519007,-81.885074 26.519425,-81.885088 26.519642,-81.8850942 26.5197523)",62,98011186,6302175657,11022437,Maida Lane,residential,False,True,97.04,,,,,,,,,,,443.5
"LINESTRING (-81.885196 26.518531,-81.885058 26.518521,-81.884995 26.518563,-81.885007 26.518738,-81.885036 26.518882)",63,98011191,98011186,11038061,Sandel Wood Circle West,residential,True,False,57.358,,,,,,,,,,,355.4166666666667
"LINESTRING (-81.885196 26.518531,-81.885268 26.518513,-81.88567 26.518508,-81.8865 26.518504,-81.886579 26.518496,-81.886649 26.518461,-81.886696 26.518397,-81.886711 26.518329,-81.886699 26.517836,-81.886703 26.51776,-81.886697 26.517686,-81.886656 26.517623,-81.886589 26.517581,-81.886511 26.517567,-81.885627 26.517568,-81.885539 26.51758,-81.885454 26.517605,-81.885342 26.517658)",64,98011191,98011223,711363482,Sandelwood Circle West,residential,False,False,376.155,,,,,,,,,,,364.25
"LINESTRING (-81.885342 26.517658,-81.885454 26.517605,-81.885539 26.51758,-81.885627 26.517568,-81.886511 26.517567,-81.886589 26.517581,-81.886656 26.517623,-81.886697 26.517686,-81.886703 26.51776,-81.886699 26.517836,-81.886711 26.518329,-81.886696 26.518397,-81.886649 26.518461,-81.886579 26.518496,-81.8865 26.518504,-81.88567 26.518508,-81.885268 26.518513,-81.885196 26.518531)",65,98011223,98011191,711363482,Sandelwood Circle West,residential,False,True,376.155,,,,,,,,,,,364.25
"LINESTRING (-81.8881544 26.5219825,-81.8883281 26.5221243)",365,98021151,8280777319,890960905,,service,False,True,23.394,,,customers,,,,,,,,99.41666666666667
"LINESTRING (-81.8881544 26.5219825,-81.888155 26.5219001,-81.888134 26.52184,-81.8881016 26.521791,-81.8880576 26.5217543)",366,98021151,98021155,11007051,,residential,False,True,28.481,,,,,,,,,,,82.75
"LINESTRING (-81.8881544 26.5219825,-81.8882327 26.5219063,-81.888271 26.521848,-81.8882815 26.5217536)",367,98021151,9462326569,11045911,Elderberry Lane,residential,False,False,29.579,,,,,,,,,,,82.75
"LINESTRING (-81.8881544 26.5219825,-81.887375 26.5227,-81.887328 26.52276,-81.887289 26.522831,-81.887261 26.522904)",368,98021151,98484043,11045911,Elderberry Lane,residential,False,True,136.784,,,,,,,,,,,82.75
