osmid,x,y,total_CYD
98011186,-81.885036,26.518882,1897.0
98011191,-81.885196,26.518531,157.0
98011223,-81.885342,26.517658,650.0
98021151,-81.8881544,26.5219825,662.0
98021155,-81.8880576,26.5217543,0.0
98021231,-81.868044,26.5328821,0.0
98022211,-81.896709,26.526655,73.0
98022475,-81.8713781,26.5306888,0.0
98022479,-81.872608,26.530654,0.0
98022484,-81.8733447,26.5308346,0.0
98022493,-81.8733279,26.5298605,0.0
98022497,-81.8726055,26.5303074,0.0
98022506,-81.8713728,26.5303513,0.0
98023184,-81.8715373,26.5246602,0.0
98027842,-81.918314,26.527039,189.0
98027843,-81.91831,26.526273,573.0
98027845,-81.918311,26.526128,318.0
98027876,-81.917542,26.5244,710.0
98027890,-81.91589,26.524614,164.0
98029304,-81.891939,26.515202,610.0
98029308,-81.891947,26.515875,507.0
98029324,-81.894171,26.516191,2057.0
98029338,-81.894237,26.514226,627.0
98029340,-81.89413,26.514132,463.0
98029346,-81.893091,26.514137,1740.0
98029351,-81.891994,26.514192,1666.0
98029353,-81.891952,26.514247,196.0
98030116,-81.901661,26.522255,0.0
98032266,-81.900902,26.529465,835.0
98040418,-81.8788266,26.5170432,1144.0
98040434,-81.878225,26.516427,228.0
98042552,-81.890913,26.532657,336.0
98042569,-81.888441,26.532726,1167.0
98050973,-81.898912,26.524321,246.0
98050978,-81.899479,26.524313,319.0
98050980,-81.900351,26.5243,515.0
98050986,-81.901237,26.524287,992.0
98050988,-81.902065,26.524277,118.0
98050992,-81.902921,26.524261,156.0
98050995,-81.903258,26.524257,0.0
98053164,-81.900719,26.48861,1730.0
98053177,-81.899236,26.487826,472.0
98053284,-81.8848192,26.4070972,0.0
98053295,-81.8844258,26.4063622,0.0
98054410,-81.874689,26.524633,44.0
98054440,-81.8748007,26.5222584,0.0
98054450,-81.874795,26.521504,0.0
98054683,-81.895055,26.407529,0.0
98054746,-81.916212,26.525856,0.0
98054764,-81.91633,26.525635,0.0
98055130,-81.902959,26.526053,318.0
98058580,-81.916477,26.531836,167.0
98058585,-81.916652,26.532143,99.0
98058615,-81.916812,26.531836,49.0
98062323,-81.912106,26.432122,0.0
98062337,-81.913219,26.432645,0.0
98062341,-81.913639,26.432986,0.0
98063976,-81.8987588,26.5133076,0.0
98063979,-81.897736,26.513346,45.0
98063981,-81.8963234,26.513373,113.0
98064275,-81.883773,26.53338,0.0
98064758,-81.8976083,26.4964537,1116.0
98064760,-81.8980533,26.4960825,149.0
98065022,-81.899141,26.531585,92.0
98065041,-81.901362,26.531791,338.0
98065046,-81.902247,26.531788,671.0
98065062,-81.90496,26.531853,0.0
98065065,-81.908218,26.531767,0.0
98065793,-81.8892865,26.5221921,0.0
98065801,-81.887206,26.521752,0.0
98068438,-81.8976798,26.5078262,0.0
98068454,-81.895512,26.508214,0.0
98068473,-81.892626,26.508306,73.0
98068497,-81.890587,26.508289,0.0
98069258,-81.8922203,26.5236847,181.0
98069271,-81.893398,26.522173,6.0
98069297,-81.8933885,26.5216365,0.0
98073950,-81.900151,26.530209,83.0
98073953,-81.900332,26.529987,586.0
98073955,-81.900484,26.529876,80.0
98073966,-81.901026,26.529261,778.0
98073973,-81.901198,26.528807,410.0
98073976,-81.901245,26.528426,311.0
98073977,-81.901278,26.528067,554.0
98073991,-81.901028,26.526428,584.0
98074008,-81.90058,26.525775,849.0
98074027,-81.899025,26.53033,266.0
98074031,-81.899591,26.530282,468.0
98074455,-81.908071,26.425265,79.0
98074465,-81.907005,26.424041,0.0
98075446,-81.898756,26.52745,41.0
98075448,-81.898076,26.527463,0.0
98076677,-81.902255,26.532731,0.0
98080660,-81.916401,26.527084,56.0
98080674,-81.916248,26.527226,367.0
98081646,-81.9043939,26.5228636,73.0
98081665,-81.904623,26.522606,1179.0
98083465,-81.904833,26.529269,968.0
98083679,-81.873887,26.504451,0.0
98083694,-81.873393,26.504556,188.0
98085257,-81.9085086,26.5267528,0.0
98085296,-81.907988,26.526873,0.0
98085311,-81.9073025,26.5266843,0.0
98087995,-81.912101,26.431476,0.0
98088001,-81.910259,26.431486,0.0
98088426,-81.898974,26.502934,379.0
98088440,-81.899704,26.50313,228.0
98088533,-81.902597,26.50387,431.0
98088567,-81.901173,26.502883,1584.0
98089921,-81.91876,26.532715,0.0
98090041,-81.918286,26.532766,0.0
98090905,-81.864318,26.504015,2612.0
98093020,-81.8872309,26.5206163,153.0
98093022,-81.887215,26.519848,864.0
98093026,-81.887164,26.516937,521.0
98093609,-81.904909,26.423218,1080.0
98093611,-81.9047103,26.4233448,0.0
98093613,-81.9045097,26.4234881,0.0
98093619,-81.902299,26.42512,0.0
98096713,-81.905418,26.426031,0.0
98096766,-81.904163,26.431017,0.0
98098767,-81.88826,26.40546,0.0
98098769,-81.888269,26.406148,0.0
98099220,-81.898983,26.528079,809.0
98099222,-81.898956,26.526697,42.0
98099224,-81.898942,26.525982,409.0
98099226,-81.898926,26.525064,290.0
98099228,-81.898925,26.524985,160.0
98099230,-81.8989076,26.5236772,1186.0
98099245,-81.8987868,26.5206272,34.0
98099246,-81.898781,26.5204581,339.0
98099247,-81.8987423,26.5185586,463.0
98099334,-81.8984491,26.4801899,191.0
98099340,-81.8985535,26.4833863,754.0
98099341,-81.898579,26.485563,1438.0
98099345,-81.898632,26.487839,0.0
98099347,-81.898655,26.488857,0.0
98099351,-81.898718,26.490863,910.0
98099353,-81.898721,26.490968,92.0
98099355,-81.8987264,26.4911137,156.0
98099359,-81.898727,26.49124,983.0
98099365,-81.898769,26.493736,378.0
98099369,-81.898803,26.49519,0.0
98099377,-81.89885,26.497672,75.0
98099381,-81.898907,26.500477,236.0
98099391,-81.8990518,26.5077868,0.0
98099405,-81.8987395,26.5129872,0.0
98099407,-81.8986757,26.5142996,0.0
98099409,-81.8986778,26.5145517,0.0
98099413,-81.8986877,26.515655,96.0
98099416,-81.8988789,26.5185559,888.0
98099418,-81.8989157,26.5204562,538.0
98099420,-81.8989179,26.5206271,23.0
98099423,-81.8988796,26.5218319,87.0
98103193,-81.873791,26.505781,443.0
98103195,-81.873119,26.506157,1287.0
98103283,-81.9155748,26.5041277,0.0
98103882,-81.900265,26.526633,271.0
98103884,-81.900392,26.527276,700.0
98104105,-81.866234,26.5242,0.0
98104107,-81.866224,26.523403,0.0
98104110,-81.866216,26.522878,0.0
98105248,-81.9110969,26.4276028,0.0
98105250,-81.910741,26.427893,531.0
98105254,-81.909955,26.428561,0.0
98107798,-81.867965,26.523387,0.0
98107800,-81.867983,26.524181,0.0
98108459,-81.9061308,26.5211128,721.0
98108474,-81.905551,26.521036,1535.0
98108500,-81.911239,26.505242,0.0
98108543,-81.911236,26.50513,0.0
98108670,-81.9067296,26.5218253,0.0
98108674,-81.906856,26.521392,0.0
98108680,-81.9078538,26.5250785,0.0
98108682,-81.9082122,26.5252527,0.0
98108684,-81.908436,26.525357,0.0
98108691,-81.909241,26.525536,0.0
98108697,-81.9095856,26.5255166,0.0
98108701,-81.9100413,26.5253892,0.0
98108712,-81.9102349,26.5252834,0.0
98108718,-81.910863,26.524595,0.0
98108760,-81.906083,26.523625,227.0
98108784,-81.9076577,26.5249813,0.0
98108788,-81.9077014,26.5251223,0.0
98109541,-81.889523,26.52568,115.0
98109576,-81.888247,26.525691,0.0
98112342,-81.9101215,26.5291201,0.0
98113096,-81.865049,26.521845,0.0
98113098,-81.86503,26.521188,0.0
98113104,-81.865044,26.521955,0.0
98113106,-81.865053,26.52248,0.0
98113802,-81.910403,26.496499,1105.0
98113953,-81.906085,26.500687,1622.0
98114003,-81.903097,26.495859,2733.0
98114016,-81.902951,26.494559,1910.0
98114066,-81.90389,26.489562,768.0
98114087,-81.906094,26.5021,207.0
98119510,-81.9171325,26.5161007,1691.0
98119526,-81.9171677,26.5168224,847.0
98119551,-81.8711822,26.5316202,0.0
98119553,-81.8708682,26.5316219,0.0
98124288,-81.903186,26.420623,714.0
98124294,-81.899233,26.423503,0.0
98125738,-81.92342,26.4382,2445.0
98125742,-81.91514,26.529059,153.0
98125753,-81.9137022,26.5281793,467.0
98128390,-81.893039,26.511087,0.0
98128392,-81.894633,26.511066,0.0
98128527,-81.918062,26.434305,82.0
98128539,-81.917225,26.435303,0.0
98128546,-81.916457,26.434768,0.0
98128554,-81.913153,26.434192,0.0
98130153,-81.910495,26.496435,967.0
98130228,-81.908702,26.493527,436.0
98130270,-81.907035,26.489572,3896.0
98130280,-81.907017,26.487763,1059.0
98130292,-81.902798,26.487528,317.0
98130309,-81.906367,26.487408,93.0
98131703,-81.864462,26.521851,0.0
98131709,-81.865621,26.521864,0.0
98131718,-81.866209,26.521973,0.0
98131719,-81.866791,26.521966,0.0
98131721,-81.867373,26.521961,0.0
98131765,-81.8696175,26.5220591,0.0
98131800,-81.8697066,26.5221942,0.0
98131826,-81.867362,26.522071,0.0
98131829,-81.866792,26.522078,0.0
98131831,-81.866207,26.522084,0.0
98131842,-81.86565,26.521989,0.0
98131847,-81.864464,26.521962,0.0
98132991,-81.895447,26.53116,868.0
98133000,-81.895429,26.528167,507.0
98134594,-81.901366,26.484944,1126.0
98134661,-81.898843,26.485011,2163.0
98136499,-81.902616,26.48441,0.0
98136509,-81.902198,26.484227,158.0
98136514,-81.90191,26.484125,156.0
98136561,-81.8990546,26.4834102,287.0
98136574,-81.90262,26.48431,772.0
98137989,-81.918998,26.524008,123.0
