Load Date,Disposal Site,CYD,Proportion,Assigned Trucks
2022-10-19,AandW Bulb Rd DMS,7886,0.1172639405204461,23
2022-10-19,Bay Oaks DMS,2697,0.040104089219330855,8
2022-10-19,Civic Center DMS,9378,0.13944981412639404,27
2022-10-19,Domestic Rd DMS,16086,0.23919702602230483,47
2022-10-19,Lee Health Bonita Springs DMS,1180,0.01754646840148699,3
2022-10-19,Paige Field Airport DMS,10038,0.1492639405204461,29
2022-10-19,Pine Island DMS,9753,0.14502602230483272,28
2022-10-19,Wakehatchee Park DMS,10232,0.15214869888475838,30
2022-10-20,AandW Bulb Rd DMS,9249,0.13431600348533257,26
2022-10-20,Bay Oaks DMS,4070,0.05910543130990415,11
2022-10-20,Civic Center DMS,8965,0.13019169329073482,25
2022-10-20,Domestic Rd DMS,14246,0.2068835318036596,40
2022-10-20,Lee Health Bonita Springs DMS,2699,0.03919546906767354,8
2022-10-20,Paige Field Airport DMS,9913,0.143958756898054,28
2022-10-20,Pine Island DMS,9366,0.13601510310775486,26
2022-10-20,Wakehatchee Park DMS,10352,0.15033401103688643,29
2022-10-21,AandW Bulb Rd DMS,8705,0.1264416233332365,24
2022-10-21,Bay Oaks DMS,3187,0.04629172355692415,9
2022-10-21,Civic Center DMS,9487,0.137800307933649,26
2022-10-21,Domestic Rd DMS,18846,0.27374139383551693,52
2022-10-21,Lee Health Bonita Springs DMS,1018,0.014786625221508875,3
2022-10-21,Paige Field Airport DMS,7579,0.11008627952241234,21
2022-10-21,Pine Island DMS,9481,0.13771315690090927,26
2022-10-21,Wakehatchee Park DMS,10543,0.15313888969584288,29
2022-10-22,AandW Bulb Rd DMS,6025,0.08803974574413677,17
2022-10-22,Bay Oaks DMS,3185,0.046540512895448236,9
2022-10-22,Civic Center DMS,10441,0.15256813034266092,29
2022-10-22,Domestic Rd DMS,16110,0.235405859574779,45
2022-10-22,Lee Health Bonita Springs DMS,1031,0.01506539051654855,3
2022-10-22,Paige Field Airport DMS,11184,0.16342514795061006,31
2022-10-22,Pine Island DMS,8182,0.11955870534083436,23
2022-10-22,Wakehatchee Park DMS,12277,0.1793965076349821,34
2022-10-23,AandW Bulb Rd DMS,10778,0.15221658875534905,30
2022-10-23,Bay Oaks DMS,3333,0.047071617212987416,9
2022-10-23,Civic Center DMS,9542,0.13476068750264805,26
2022-10-23,Domestic Rd DMS,14909,0.21055827813634245,41
2022-10-23,Paige Field Airport DMS,14595,0.206123688335899,40
2022-10-23,Pine Island DMS,8790,0.12414026861750957,24
2022-10-23,Wakehatchee Park DMS,8860,0.1251288714392645,24
2022-10-24,AandW Bulb Rd DMS,6418,0.09191155410437074,18
2022-10-24,Bay Oaks DMS,4412,0.06318382310820875,13
2022-10-24,Civic Center DMS,8709,0.12472074239560062,25
2022-10-24,Domestic Rd DMS,16051,0.22986481067766512,46
2022-10-24,Paige Field Airport DMS,9459,0.1354614194878845,27
2022-10-24,Pine Island DMS,10760,0.15409291401729966,31
2022-10-24,Wakehatchee Park DMS,12495,0.17893968035744973,36
2022-10-24,Wulfert Rd DMS,1524,0.02182505585152088,4
2022-10-25,AandW Bulb Rd DMS,3942,0.05997444011684518,12
