WKT,fid,u,v,osmid,name,highway,oneway,reversed,length,lanes,ref,access,service,maxspeed,bridge,junction,tunnel,area,width,total_split_CYD
"LINESTRING (-81.959739 26.45594,-81.9598459 26.4560441,-81.9600501 26.4562431,-81.9601406 26.4563313,-81.9601841 26.4563737,-81.9602306 26.4564156)",2267,98027430,5694055621,166094633,Estero Boulevard,tertiary,False,False,72.059,2,,,,25 mph,,,,,,115.5887288696564
"LINESTRING (-81.959739 26.45594,-81.959793 26.4558853,-81.9599432 26.4557332,-81.9599822 26.4557633,-81.9600866 26.455844)",2269,98027430,5694077515,598233640,,service,False,True,49.549,,,,,,,,,,,27.254546379234817
"LINESTRING (-81.959739 26.45594,-81.9596247 26.4558588,-81.9595667 26.4558238,-81.959538 26.4558065,-81.959516 26.4557933,-81.9594584 26.4557586,-81.9592819 26.4556524,-81.9592703 26.4556454)",2268,98027430,5833573709,166094633,Estero Boulevard,tertiary,False,True,57.043,2,,,,25 mph,,,,,,306.57851768516457
"LINESTRING (-81.959739 26.45594,-81.9596799 26.4560013,-81.9596254 26.4560579,-81.9590043 26.4567031)",2266,98027430,8793154921,11007879,Matanzas Street,residential,False,False,112.024,,,,,,,,,,,144.95102012251735
"LINESTRING (-81.9586471 26.4570741,-81.9582706 26.4568632)",2271,98027435,98444340,11041982,Matanzas Court,residential,False,False,44.212,,,,,,,,,,,140.52756621440068
"LINESTRING (-81.9586471 26.4570741,-81.9585555 26.4571404,-81.9584095 26.4574911)",2273,98027435,7013821670,750068062,,service,False,False,53.343,,,private,driveway,,,,,,,130.61273432886338
"LINESTRING (-81.9586471 26.4570741,-81.9588334 26.457179)",2272,98027435,7013821671,11041982,Matanzas Court,residential,False,True,21.909,,,,,,,,,,,302.04265071712115
"LINESTRING (-81.9586471 26.4570741,-81.9590043 26.4567031)",2270,98027435,8793154921,11007879,Matanzas Street,residential,False,True,54.464,,,,,,,,,,,221.55489980958504
"LINESTRING (-81.949508 26.461042,-81.9495214 26.4597937)",2274,98029423,98280281,11029597,Ostego Drive,residential,False,True,138.811,,,,,,,,,,,0.0
"LINESTRING (-81.949508 26.461042,-81.9491881 26.4609713)",2275,98029423,1793687118,168027412,Main Street,residential,False,False,32.801,,,,,,,,,,,0.0
"LINESTRING (-81.949508 26.461042,-81.949926 26.461141,-81.950077 26.4611751,-81.9504499 26.4612594)",2277,98029423,7013893152,168027415,Main Street,residential,False,True,96.83,,,,,,,,,,,0.0
"LINESTRING (-81.949508 26.461042,-81.9495481 26.4627936,-81.9497085 26.4628292,-81.9500282 26.4628329,-81.9501598 26.4628366,-81.9502246 26.4628067,-81.9502748 26.4627413,-81.9504022 26.4624962,-81.9505506 26.4623036,-81.9506007 26.4622344,-81.9506153 26.4621847)",2276,98029423,7328205635,"[796729800, 11008097]",Sea Side Drive,"['residential', 'service']",False,"[False, True]",343.236,,,,,,,,,,,2.765361274197469
"LINESTRING (-81.941712 26.459724,-81.941714 26.45992,-81.941697 26.459987,-81.941647 26.460036,-81.941571 26.460055,-81.941497 26.460041,-81.941485 26.460031,-81.941439 26.459992,-81.941419 26.459918,-81.941448 26.45985,-81.941512 26.459802,-81.941712 26.459724)",2279,98029850,98029850,11008128,Doubloon Way,residential,False,False,106.726,,,,,,,,,,,0.0
"LINESTRING (-81.941712 26.459724,-81.941694 26.458085)",2278,98029850,98029868,11008129,Doubloon Way,residential,False,True,182.258,,,,,,,,,,,0.0
"LINESTRING (-81.940882 26.458097,-81.941141 26.458095,-81.941397 26.458093,-81.941694 26.458085)",2623,98289577,98029868,11030239,Spanish Main Street,residential,True,False,80.848,,,,,,,,,,,0.0
"LINESTRING (-81.941694 26.458085,-81.941953 26.458085,-81.9425759 26.458083)",2283,98029868,98289583,11030239,Spanish Main Street,residential,True,False,87.792,,,,,,,,,,,0.0
"LINESTRING (-81.941694 26.458085,-81.9416941 26.4580185)",2282,98029868,1756886972,11008129,Doubloon Way,residential,False,True,7.394,,,,,,,,,,,0.0
