osmid,x,y,total_CYD
98053284,-81.8848192,26.4070972,0.0
98053295,-81.8844258,26.4063622,0.0
98054683,-81.895055,26.407529,0.0
98062323,-81.912106,26.432122,0.0
98062337,-81.913219,26.432645,0.0
98062341,-81.913639,26.432986,0.0
98074455,-81.908071,26.425265,0.0
98074465,-81.907005,26.424041,0.0
98087995,-81.912101,26.431476,0.0
98088001,-81.910259,26.431486,0.0
98093609,-81.904909,26.423218,0.0
98093611,-81.9047103,26.4233448,0.0
98093613,-81.9045097,26.4234881,0.0
98093619,-81.902299,26.42512,0.0
98096713,-81.905418,26.426031,0.0
98096766,-81.904163,26.431017,0.0
98098767,-81.88826,26.40546,0.0
98098769,-81.888269,26.406148,0.0
98105248,-81.9110969,26.4276028,0.0
98105250,-81.910741,26.427893,0.0
98105254,-81.909955,26.428561,0.0
98124288,-81.903186,26.420623,0.0
98124294,-81.899233,26.423503,0.0
98125738,-81.92342,26.4382,0.0
98128527,-81.918062,26.434305,0.0
98128539,-81.917225,26.435303,0.0
98128546,-81.916457,26.434768,0.0
98128554,-81.913153,26.434192,0.0
98153412,-81.884939,26.404842,0.0
98153441,-81.8845141,26.4078093,0.0
98157371,-81.906366,26.4242508,0.0
98166589,-81.887127,26.405423,0.0
98166591,-81.887128,26.405889,0.0
98170208,-81.9227084,26.4376888,0.0
98203979,-81.912109,26.432351,0.0
98203983,-81.910293,26.432368,0.0
98206415,-81.8975349,26.4200771,0.0
98206428,-81.8988,26.422587,0.0
98218152,-81.9070876,26.4237222,0.0
98218157,-81.9066806,26.4240156,0.0
98218165,-81.9051243,26.425102,0.0
98218174,-81.9033952,26.426358,0.0
98231941,-81.914948,26.432989,0.0
98231946,-81.913871,26.432065,0.0
98235454,-81.887306,26.408614,0.0
98235466,-81.887866,26.408636,0.0
98235475,-81.888563,26.408957,0.0
98235542,-81.893052,26.411553,0.0
98235544,-81.89317,26.411584,0.0
98235590,-81.897108,26.411402,0.0
98235630,-81.898483,26.409758,0.0
98235674,-81.8984,26.409653,0.0
98241915,-81.911293,26.42985,0.0
98241918,-81.910242,26.42884,0.0
98241924,-81.909125,26.4277835,0.0
98241934,-81.908614,26.427298,0.0
98243788,-81.8942,26.4151995,0.0
98243793,-81.8943634,26.4152698,0.0
98243801,-81.900838,26.415216,0.0
98243803,-81.9004532,26.4152372,0.0
98248812,-81.8841963,26.4047774,0.0
98272065,-81.9247624,26.4390708,0.0
98272072,-81.924111,26.438678,0.0
98272073,-81.922039,26.437222,0.0
98272079,-81.9205098,26.4361169,0.0
98272090,-81.919555,26.435414,0.0
98272096,-81.918787,26.434844,0.0
98272103,-81.916437,26.433102,0.0
98272109,-81.914518,26.431482,0.0
98272120,-81.9125578,26.429782,0.0
98272125,-81.91208,26.429181,0.0
98272136,-81.909408,26.426618,0.0
98272162,-81.907901,26.425489,0.0
98272180,-81.906821,26.425303,0.0
98272207,-81.90539,26.423895,0.0
98272215,-81.9052523,26.4237198,0.0
98272222,-81.905143,26.423571,0.0
98272226,-81.904361,26.422395,0.0
98272231,-81.903802,26.421548,0.0
98272235,-81.902649,26.4198,0.0
98272236,-81.902606,26.419723,0.0
98272245,-81.901581,26.417219,0.0
98272259,-81.899579,26.411833,0.0
98272261,-81.899549,26.411751,0.0
98272281,-81.896228,26.407141,68.0
98272282,-81.896134,26.40704,0.0
98272296,-81.894552,26.405797,0.0
98272308,-81.892473,26.40486,0.0
98272332,-81.890671,26.404487,0.0
98272355,-81.889438,26.404434,0.0
98272390,-81.885915,26.40472,0.0
98274443,-81.891569,26.405518,0.0
98274447,-81.891372,26.405947,0.0
98275373,-81.9014988,26.4205854,0.0
98275382,-81.900562,26.421297,0.0
98275387,-81.899677,26.421937,0.0
98285619,-81.889452,26.405301,0.0
98285620,-81.889455,26.406152,0.0
