Disposal Site,Address 1,Citation,Latitude,Longitude,distance_to_node,osmid,node_latitude,node_longitude,Trucks,Load Date
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,8,2022-10-19
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,11,2022-10-20
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,9,2022-10-21
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,9,2022-10-22
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,9,2022-10-23
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,13,2022-10-24
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,7,2022-10-25
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,4,2022-10-29
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,5,2022-10-30
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,7,2022-10-31
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,3,2022-11-01
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,8,2022-11-02
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,9,2022-11-03
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,6,2022-11-04
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,6,2022-11-05
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2022-11-06
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-11-07
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,5,2022-11-08
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-11-09
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,3,2022-11-13
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-11-14
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-11-16
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2022-11-17
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2022-11-18
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-11-22
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,0,2022-11-29
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2022-11-30
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,4,2022-12-01
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,0,2022-12-02
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-12-03
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-12-05
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-12-06
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,0,2022-12-08
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2022-12-09
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-12-10
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2022-12-12
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,0,2022-12-13
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-12-17
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,0,2022-12-18
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2022-12-19
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2023-01-03
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,0,2023-01-04
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2023-01-06
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,0,2023-01-08
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,0,2023-01-10
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,3,2023-01-11
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,3,2023-01-12
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2023-01-13
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2023-01-14
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2023-01-15
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2023-01-16
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2023-01-17
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,3,2023-01-18
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,4,2023-01-19
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2023-01-20
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2023-01-21
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2023-01-22
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2023-01-23
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,1,2023-01-25
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2023-01-30
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,2,2023-01-31
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,5,2023-02-01
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,7,2023-02-02
